"","X","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_Sample_size_sum","Partner_site_value","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Fragment_size_ha_site","Latitude","Longitude","Matrix_mean","Forest_Group","Elevation","Rainfall_mm","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","lnRR_input","Value","nt","nc","nt_fix","nc_fix","vi_raw","vi","se_obs","lnRR_for_plot","Elevation_s","Rainfall_mm_s","Latitude_s","Longitude_s","Fragment_size_ha_s","forest_area_ref_ha","log_forest_area_ref","log_forest_area_ref_s","log_size_small","log_size_small_s","lnRR_plot"
"1055",1074,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.69718653_-59.61203811_78.44_NA","41_-1.69718653_-59.61203811_78.44_NA",78.44,1,2,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-1.09861228866811,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,78.44,4.36233400132815,-0.299047129028512,0.418710334858185,-1.10011162990255,-1.09861228866811
"1056",1075,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.697857752_-59.78429368_218.74_NA","41_-1.697857752_-59.78429368_218.74_NA",218.74,1,4,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.510825623765991,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,218.74,5.38788380990708,0.114718069430382,0.418710334858185,-1.10011162990255,-0.510825623765991
"1057",1076,"Frag__41_-1.718200967_-59.75856719_0.83_NA",41,"Frag","41_-1.718200967_-59.75856719_0.83_NA",0.83,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.833397066_-59.42089995_1.52_NA","41_-1.833397066_-59.42089995_1.52_NA",1.52,1,7,3,52,1,0.0576923076923077,"Frag","41_-1.718200967_-59.75856719_0.83_NA",NA,0.83,-1.718200967,-59.75856719,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.718200967_-59.75856719_0.83_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.762140052046897,-0.626308882313611,0.666590089376158,-0.608429945445551,-0.870109994532145,-0.244092507892732,1.52,0.418710334858185,-1.89012950782118,-0.186329578191493,-1.39009873430749,0.762140052046897
"1058",1077,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.739252703_-59.70506215_637.49_NA","41_-1.739252703_-59.70506215_637.49_NA",637.49,1,3,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.762140052046897,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,637.49,6.45753859063504,0.546277725458872,0.418710334858185,-1.10011162990255,-0.762140052046897
"1059",1078,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.310154928303839,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.73969619_-59.44704839_193_NA","41_-1.73969619_-59.44704839_193_NA",193,1,5,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.310154928303839,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,193,5.26269018890489,0.064207832866115,0.418710334858185,-1.10011162990255,-0.310154928303839
"1060",1079,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.310154928303839,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.762404777_-59.67868363_13.41_NA","41_-1.762404777_-59.67868363_13.41_NA",13.41,1,5,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.310154928303839,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,13.41,2.59600069729359,-1.01168657761962,0.418710334858185,-1.10011162990255,-0.310154928303839
"1061",1080,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,1.6094379124341,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.766578965_-59.36342323_5.85_NA","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-1.6094379124341,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,5.85,1.76644166124377,-1.34637793664795,0.418710334858185,-1.10011162990255,-1.6094379124341
"1062",1081,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,0,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,487.5,6.1892902904379,0.438051084257381,0.418710334858185,-1.10011162990255,0
"1063",1082,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,1.6094379124341,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.774584688_-59.69234747_3.53_NA","41_-1.774584688_-59.69234747_3.53_NA",3.53,1,1,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-1.6094379124341,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,3.53,1.26129787094521,-1.55018170989693,0.418710334858185,-1.10011162990255,-1.6094379124341
"1064",1083,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.789548816_-59.44814508_21.21_NA","41_-1.789548816_-59.44814508_21.21_NA",21.21,1,4,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.510825623765991,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,21.21,3.05447276857659,-0.82671283380397,0.418710334858185,-1.10011162990255,-0.510825623765991
"1065",1084,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.794787003_-59.51288422_1466_NA","41_-1.794787003_-59.51288422_1466_NA",1466,1,4,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.510825623765991,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,1466,7.2902928824466,0.882258232633218,0.418710334858185,-1.10011162990255,-0.510825623765991
"1066",1085,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,0.143100843640673,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.829391606_-59.63268659_3.94_NA","41_-1.829391606_-59.63268659_3.94_NA",3.94,1,6,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.143100843640673,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,3.94,1.37118072330984,-1.50584870935854,0.418710334858185,-1.10011162990255,-0.143100843640673
"1067",1086,"Frag__41_-1.833397066_-59.42089995_1.52_NA",41,"Frag","41_-1.833397066_-59.42089995_1.52_NA",1.52,7,1,52,7,NA,NA,NA,NA,NA,NA,1.6094379124341,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.830513692_-59.68669069_110.43_NA","41_-1.830513692_-59.68669069_110.43_NA",110.43,1,1,7,52,1,0.134615384615385,"Frag","41_-1.833397066_-59.42089995_1.52_NA",NA,1.52,-1.833397066,-59.42089995,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.833397066_-59.42089995_1.52_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-1.6094379124341,-0.626308882313611,0.666590089376158,-0.616741370695336,-0.866208918165665,-0.242898791114467,110.43,4.70438183605904,-0.161045552668245,0.418710334858185,-1.10011162990255,-1.6094379124341
"1068",1087,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.488945521_-59.78692275_17.45_NA","41_-1.488945521_-59.78692275_17.45_NA",17.45,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,17.45,2.85933964864844,-0.90544064733148,1.98513086220859,-0.34934834435794,-0.200670695462151
"1069",1088,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.503196433_-59.82252505_53.3_NA","41_-1.503196433_-59.82252505_53.3_NA",53.3,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,53.3,3.9759363311718,-0.454941954749197,1.98513086220859,-0.34934834435794,-0.200670695462151
"1070",1089,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.78845736036427,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.507224608_-59.78904856_13.59_NA","41_-1.507224608_-59.78904856_13.59_NA",13.59,1,2,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.78845736036427,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,13.59,2.60933422816305,-1.00630707191428,1.98513086220859,-0.34934834435794,-0.78845736036427
"1071",1090,"Frag__41_-1.52268922_-59.82890426_1.15_NA",41,"Frag","41_-1.52268922_-59.82890426_1.15_NA",1.15,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.835563621_-59.59555736_7.28_NA","41_-1.835563621_-59.59555736_7.28_NA",7.28,1,5,3,52,1,0.0576923076923077,"Frag","41_-1.52268922_-59.82890426_1.15_NA",NA,1.15,-1.52268922,-59.82890426,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.52268922_-59.82890426_1.15_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.451985123743057,-0.626308882313611,0.666590089376158,-0.594323727572276,-0.870922600106392,-0.243538900111508,7.28,1.98513086220859,-1.25814625849727,0.139761942375159,-1.23380766361847,0.451985123743057
"1072",1091,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.559914341_-59.89267806_98.84_NA","41_-1.559914341_-59.89267806_98.84_NA",98.84,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,98.84,4.59350238112041,-0.205780639442107,1.98513086220859,-0.34934834435794,-0.200670695462151
"1073",1092,"Frag__41_-1.584634166_-59.87229394_2.17_NA",41,"Frag","41_-1.584634166_-59.87229394_2.17_NA",2.17,2,1,52,2,NA,NA,NA,NA,NA,NA,-0.78845736036427,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.835563621_-59.59555736_7.28_NA","41_-1.835563621_-59.59555736_7.28_NA",7.28,1,5,2,52,1,0.0384615384615385,"Frag","41_-1.584634166_-59.87229394_2.17_NA",NA,2.17,-1.584634166,-59.87229394,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.584634166_-59.87229394_2.17_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,0.78845736036427,-0.626308882313611,0.666590089376158,-0.598793069787423,-0.871423881945865,-0.241774275308855,7.28,1.98513086220859,-1.25814625849727,0.774727167552368,-0.929477778803332,0.78845736036427
"1074",1093,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.588499565_-59.83551205_9.54_NA","41_-1.588499565_-59.83551205_9.54_NA",9.54,1,3,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.451985123743057,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,9.54,2.2554934854602,-1.14906657896364,1.98513086220859,-0.34934834435794,-0.451985123743057
"1075",1094,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.596100945_-59.6328575_1690.04_NA","41_-1.596100945_-59.6328575_1690.04_NA",1690.04,1,3,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.451985123743057,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,1690.04,7.43250747627607,0.939635698990646,1.98513086220859,-0.34934834435794,-0.451985123743057
"1076",1095,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.627177857_-59.76307791_231.39_NA","41_-1.627177857_-59.76307791_231.39_NA",231.39,1,5,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,0,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,231.39,5.44410459861402,0.137400737402477,1.98513086220859,-0.34934834435794,0
"1077",1096,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.648455486_-59.83199249_673.35_NA","41_-1.648455486_-59.83199249_673.35_NA",673.35,1,3,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.451985123743057,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,673.35,6.51226525389605,0.568357578134737,1.98513086220859,-0.34934834435794,-0.451985123743057
"1078",1097,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.663733767_-59.71376969_471_NA","41_-1.663733767_-59.71376969_471_NA",471,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,471,6.15485809401642,0.424159175286668,1.98513086220859,-0.34934834435794,-0.200670695462151
"1079",1098,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.68181303_-59.65279017_72.1_NA","41_-1.68181303_-59.65279017_72.1_NA",72.1,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,72.1,4.2780540442909,-0.333050463491557,1.98513086220859,-0.34934834435794,-0.200670695462151
"1080",1099,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.78845736036427,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.69718653_-59.61203811_78.44_NA","41_-1.69718653_-59.61203811_78.44_NA",78.44,1,2,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.78845736036427,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,78.44,4.36233400132815,-0.299047129028512,1.98513086220859,-0.34934834435794,-0.78845736036427
"1081",1100,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.200670695462151,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.697857752_-59.78429368_218.74_NA","41_-1.697857752_-59.78429368_218.74_NA",218.74,1,4,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.200670695462151,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,218.74,5.38788380990708,0.114718069430382,1.98513086220859,-0.34934834435794,-0.200670695462151
"1082",1101,"Frag__41_-1.718200967_-59.75856719_0.83_NA",41,"Frag","41_-1.718200967_-59.75856719_0.83_NA",0.83,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.835563621_-59.59555736_7.28_NA","41_-1.835563621_-59.59555736_7.28_NA",7.28,1,5,3,52,1,0.0576923076923077,"Frag","41_-1.718200967_-59.75856719_0.83_NA",NA,0.83,-1.718200967,-59.75856719,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.718200967_-59.75856719_0.83_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.451985123743057,-0.626308882313611,0.666590089376158,-0.608429945445551,-0.870109994532145,-0.244092507892732,7.28,1.98513086220859,-1.25814625849727,-0.186329578191493,-1.39009873430749,0.451985123743057
"1083",1102,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0.451985123743057,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.739252703_-59.70506215_637.49_NA","41_-1.739252703_-59.70506215_637.49_NA",637.49,1,3,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,-0.451985123743057,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,637.49,6.45753859063504,0.546277725458872,1.98513086220859,-0.34934834435794,-0.451985123743057
"1084",1103,"Frag__41_-1.835563621_-59.59555736_7.28_NA",41,"Frag","41_-1.835563621_-59.59555736_7.28_NA",7.28,5,1,52,5,NA,NA,NA,NA,NA,NA,0,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.73969619_-59.44704839_193_NA","41_-1.73969619_-59.44704839_193_NA",193,1,5,5,52,1,0.0961538461538462,"Frag","41_-1.835563621_-59.59555736_7.28_NA",NA,7.28,-1.835563621,-59.59555736,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.835563621_-59.59555736_7.28_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,0,-0.626308882313611,0.666590089376158,-0.616897688140878,-0.868226738711068,-0.232933851052428,193,5.26269018890489,0.064207832866115,1.98513086220859,-0.34934834435794,0
